# 私有內容掃描基線——記錄「已知且暫時接受」的命中，只有新增命中會被擋下。
# 重建：python3 ~/.claude/scripts/check-private-content.py --write-baseline
# 格式：相對路徑 \t 命中片段 \t 原因
CATALOG.md	luna_web	private-identifier
CATALOG.md	~/.acme-internal-project	local-project-path
CATALOG.md	~/.openclaw	local-project-path
CATALOG.md	~/.secret-client-work	local-project-path
CATALOG.md	~/Desktop	local-project-path
CATALOG.md	~/Documents	local-project-path
CATALOG.md	~/Downloads	local-project-path
CLAUDE.md.20260820	luna_web	private-identifier
CODE-REVIEW-RULE.md	ERPD-7777	private-identifier
README.md	luna_web	private-identifier
README.md	~/.bun	local-project-path
README.md	~/.gitnexus	local-project-path
agents/README-pr-reviewer.md	luna_web	private-identifier
agents/multi-repo-commit-scanner.md	/Users/maxhero/Documents	local-project-path
agents/multi-repo-commit-scanner.md	luna_RN_HomeCareStaff	private-identifier
claude-mem-customize-TC/files/worker-service.cjs	~/.claude-mem	local-project-path
claude-mem-customize-TC/files/worker-service.cjs	~/.gemini	local-project-path
claude-mem-customize-TC/files/worker-service.cjs	~/g	local-project-path
claude-mem-customize-TC/files/worker-service.cjs	~/projects	local-project-path
claude-mem-customize-TC/translation-mapping.md	~/Documents	local-project-path
docs/superpowers/plans/2026-03-20-pr-reviewer-agent.md	~/Documents	local-project-path
docs/superpowers/specs/2026-03-20-pr-reviewer-agent-design.md	luna_web	private-identifier
harness/commit-review-policy.md	ERPD-11970	private-identifier
harness/delegation-templates.md	luna_web	private-identifier
harness/handover-letter.md	~/.claude.json	local-project-path
harness/harness-diagnosis.md	~/Documents	local-project-path
harness/knowledge-protocol.md	~/.claude.json	local-project-path
harness/model-dispatch.md	luna_web	private-identifier
hooks/r15-syntax-guard.ts	luna_web	private-identifier
mcp-servers.json	/Users/maxhero/Documents	local-project-path
multi-account-setup.md	~/.zshrc	local-project-path
plan-and-execute-workspace/trigger-eval.json	ERPD-12345	private-identifier
plugins/README.md	~/.claude.json	local-project-path
rules/common/coding-style.md	ERPD-11967	private-identifier
rules/common/hooks.md	~/.claude.json	local-project-path
rules/common/hooks.md.20260310	~/.claude.json	local-project-path
rules/typescript/coding-style.md	ERPD-11967	private-identifier
scripts/add-obsidian-tags.ts	DayCareStaff	private-identifier
scripts/detect-jira-issue.sh	LVB-1234	private-identifier
scripts/lib/review-marker.ts	/Users/maxhero/...	local-project-path
scripts/post-commit-review.ts	ERPD-11970	private-identifier
scripts/pr-watcher.sh	compal-swhq	private-identifier
scripts/review-pr.sh	compal-swhq	private-identifier
scripts/sync-memories-to-obsidian.sh	$HOME/Documents	local-project-path
scripts/sync-memories-to-obsidian.sh	DayCareStaff	private-identifier
